"When it no longer answers to its calling , in time it will lose its importance and , at best , its rich collections will only be consulted by historians. ” The libraries included in the book are : National Library of Austria – Vienna , Austria The Benedectine Abbey Library of Admont – Admont , Austria The Monastic library at Wiblingen – Ulm , Germany The Benedictine Abbey Library of Metten – Metten , Germany The Herzogin Anna Amalia Library – Weimar , Germany The Vatican Library – Rome , Italy Riccardiana Library – Florence , Italy The Mazarine Library – Paris , France The Institute Library – Paris , France The Senate Library – Paris , France The Cabinet Des Livres of the Duc D ’ Aumale – Chantilly , France The Abbey Library of St. Gall – Saint Gall , Switzerland Bodleaian Library – Oxford , England Wren Library , Trinity College – Cambridge , England The John Rylands Library – Manchester , England Trinity College Library – Dublin , Ireland The National Library – Prague , The Czech Republic The Library of the Royal Monastery of El Escorial – San Lorenzo del Escorial , Spain The National Palace Library in Mafra – Mafra , Portugal Boston Athaenaeum – Boston , USA The Library of Congress – Washington , DC , USA The New York Public Library – NY , USA The National Library of Russia – St. Petersburg , Russia Each library featured includes both the history and how it reflects the culture and its focus at the time of creation .","[('Paris', 102, '/ˈperəs/', 'N'), ('Paris', 109, '/ˈperəs/', 'N'), ('Paris', 116, '/ˈperəs/', 'N'), ('Boston', 209, '/ˈbôstən/', 'N'), ('Boston', 212, '/ˈbôstən/', 'N')]","Book Review:   The Most Beautiful Libraries in the World"
"In one little body Thou counterfeit'st a bark , a sea , a wind ; For still thy eyes , which I may call the sea , Do ebb and flow with tears ; the bark thy body is , Sailing in this salt flood ; the winds , thy sighs ; Who , raging with thy tears , and they with them , Without a sudden calm , will overset Thy tempest-tossed body .","[('wind', 13, '/wind/', 'N'), ('tears', 32, '/tɪə/', 'N'), ('winds', 47, '/wɪnd/', 'N'), ('tears', 57, '/tɪə/', 'N')]","Romeo and Juliet"
"History Library at West Point 1780 – Military garrison at West Point establishes library by assessing officers at the rate of one day ’ s pay per month to purchase books—arguably the first federal library since it existed when the country was founded ( predecessor to U.S. Military Academy Library 1795 – War Department Library established in Philadelphia as a general historical military library by Henry Knox , the first Secretary of War 1800 – The Navy Department Library established on March 31 by direction of President John Adams to Secretary of the Navy Benjamin Stoddert 1800 – War Department Library collections destroyed in fire at War Office Building on November 8 , soon after relocation to Washington 1901 – Congress appropriates $ 10,000 to establish the Army War College library “ for the collection and dissemination of military information ” 1914 – War Department Library transferred and consolidated with collection of the Army War College Library at the Washington Barracks ( now Fort Lesley J. McNair ) 1917 – The Librarian of Congress named Director of the American Library Association ( ALA ) Library War Service , forerunner of the Army Library Service 1918 – Carnegie Corporation of New York funds 36 library buildings at major Army installations 1918 – Air Service , War Department ( forerunner of Air Force ) establishes three technical libraries : McCook Field Library ( now Wright Patterson AFB ) , San Antonio Intermediate Air Depot Library ( Kelly AFB ) and the Air Service Library in Washington , D.C. 1918 – First female ALA Library War Service librarian hired 1918 – ALA Library War Service extended to hospitals caring for soldiers and veterans , providing patients with materials for recreation , education and therapy 1918 – ALA Library War Service establishes Paris office to support soldiers in 1940 – Permanent Army Library Service staff position established in Morale Branch of the Adjutant General ’ s Office to select and purchase books for Army posts and Air Corps stations and advise the War Department on library matters 1942 – Office of War Information Library established from small newspaper morgue in New York 1943 Joint project of U.S. Government and private publishers begins production of 123 million copies of Armed Services Edition paperback books ( 4 ½ oz .","[('founded', 42, '/faʊnd/', 'V'), ('Paris', 298, '/ˈperəs/', 'N'), ('posts', 330, '/pəʊst/', 'N'), ('project', 360, 'P R AA1 JH EH0 K T', 'N')]","US Military Libraries, 1780-1943"
"Now sways it this way , like a mighty sea Forced by the tide to combat with the wind ; Now sways it that way , like the selfsame sea Forced to retire by fury of the wind : Sometime the flood prevails , and then the wind ; Now one the better , then another best ; Both tugging to be victors , breast to breast , Yet neither conqueror nor conquered : So is the equal of this fell war .","[('wind', 18, '/wind/', 'N'), ('retire', 32, '/rəˈtī(ə)r/', 'V'), ('wind', 37, '/wind/', 'N'), ('wind', 47, '/wind/', 'N')]","Henry VI, part 3"
"Lo , as the bark , that hath discharged her fraught , Returns with precious jading to the bay From whence at first she weigh 'd her anchorage , Cometh Andronicus , bound with laurel boughs , To re-salute his country with his tears , Tears of true joy for his return to Rome .","[('anchorage', 27, '/ˈaNGk(ə)rij/', 'N'), ('tears', 43, '/tɪə/', 'N'), ('Tears', 45, '/tɛː/', 'N')]","Titus Andronicus"
"The other motive , Why to a public count I might not go , Is the great love the general gender bear him ; Who , dipping all his faults in their affection , Would , like the spring that turneth wood to stone , Convert his gyves to graces ; so that my arrows , Too slightly timber 'd for so loud a wind , Would have reverted to my bow again , And not where I had aim 'd them .","[('Convert', 45, 'K AA1 N V ER0 T', 'N'), ('wind', 64, '/wind/', 'N'), ('bow', 71, '/bou/', 'N')]","Hamlet"
"November is the eleventh month of the year in the Julian and Gregorian Calendars , the fourth and last of four months to have a length of 30 days and the fifth and last of five months to have a length of fewer than 31 days .","[('Julian', 10, '/ˈjo͞olyən/', 'ADJ'), ('last', 18, '/last/', 'ADJ'), ('last', 33, '/last/', 'ADJ')]","November Holidays to Celebrate"
"Trinity College Library Libraries include : Bizzell Memorial Library , University of Oklahoma Trinity College Library , University of Dublin Fisher Fine Arts Library , University of Pennsylvania , Philadelphia Duke Humfrey ’ s Library , Oxford University , Oxford , England Suzzallo Library , University of Washington , Seattle Peabody Library , Johns Hopkins University , Baltimore Queen ’ s College Library , Oxford University , Oxford , England Millikan Library , California Institute of Technology Joe and Rika Mansueto Library , University of Chicago , Chicago Linderman Library , Lehigh University , Bethlehem , Pennsylvania Uris Library , Cornell University , Ithaca , New York William Andrews Clark Memorial Library , UCLA , Los Angeles University of Salamanca Library , Salamanca , Spain Reading Room Saint-Jacques , Library of the Sorbonne , Paris-Sorbonne University , Paris Bapst Library , Boston College , Boston The Beinecke Rare Book and Manuscript Library , Yale University , New Haven Wren Library , Trinity College , Cambridge University , Cambridge , England Richard J. Klarchek Information Commons , Loyola University Chicago","[('Paris', 137, '/ˈperəs/', 'N'), ('Boston', 141, '/ˈbôstən/', 'N'), ('Boston', 144, '/ˈbôstən/', 'N')]","University Libraries You Have to Visit"
"Then doth it well appear that Salique law Was not devised for the realm of France : Nor did the French possess the Salique land Until four hundred one and twenty years After defunction of King Pharamond , Idly supposed the founder of this law ; Who died within the year of our redemption Four hundred twenty-six ; and Charles the Great Subdued the Saxons , and did seat the French Beyond the river Sala , in the year Eight hundred five .","[('law', 7, '/lɔ/', 'N'), ('law', 44, '/lɔ/', 'N'), ('Charles', 59, '/CHärlz/', 'N')]","Henry V"
"Weep , wretched man , I 'll aid thee tear for tear ; And let our hearts and eyes , like civil war , Be blind with tears , and break o'ercharged with grief .","[('tear', 9, '/tɛr/', 'N'), ('tear', 11, '/tɛr/', 'N'), ('tears', 27, '/tɪə/', 'N')]","Henry VI, part 3"
