"SSRIs are less cardiotoxic than many first-generation antidepressants, but there is still evidence that they inhibit sodium, calcium, and potassium ion channels at concentrations near therapeutic levels.","“<they, inhibit, sodium , calcium, and potassium ion channels>”",30521236,2020,StatPearls,"University Hospital, St John Medical Cr",,,,,,,,,,,,,,,,,,,,
“Dietary supplements that promote mitochondrial biogenesis and inhibit the production of oxidative stress have been used to treat autism patients.”,"“<dietary supplements, inhibit, production>”",32006374,2020,Adv Neurobiol.,"Research & Policy Department, World Innovation Summit for Health (WISH)", Saravanan B, Thamilarasan M, Thenmozhi AJ, Essa MM, Guillemin GJ,"Qoronfleh MW. Protein Nutrition in Autism. Adv Neurobiol. 2020;24:573-586. doi: 10.1007/978-3-030-30402-7_20. PMID: 32006374.""",,,,,,,,,,,,,,
“The PROTACs potently inhibit PRC2 enzyme activity (pIC50 ∼ 8.1) and induce rapid degradation of not only EED but also EZH2 and SUZ12 within the PRC2 complex.”,"“<PROTACs, inhibit, rapid degradation>”",31786184,2020,Cell Chem Biol.,"Oncology R&D, AstraZeneca", O' Donovan DH, Bagal S, Code E, Rawlins P, Argyrou A, Tomlinson R, Gao N, Zhu X, Chiarparin E, Jacques K, Shen M, Woods H, Bednarski E, Wilson DM, Drew L, Castaldi MP, Fawell S, Bloecher A. EED-Targeted PROTACs Degrade EED,EZH2,"and SUZ12 in the PRC2 Complex. Cell Chem Biol. 2020 Jan 16;27(1):41-46.e17. doi: 10.1016/j.chembiol.2019.11.004. Epub 2019 Nov 27. PMID: 31786184."""
"Pre-incubation of AGAL with ADAs significantly inhibited intracellular enzyme activity, which was rescued by immune adsorption (both P < .01).","“<Pre-incubation, inhibited, intracellular enzyme activity>”",31587315,2020,J Interit Metab Dis.,"Internal Medicine D, Department of Nephrology, Hypertension and Rheumatology, University Hospital Muenster",,,,,,,,,,,,,,,,,,,,
"“The results revealed that vection was inhibited by inconsistent locomotion, but facilitated by consistent locomotion.”","“<vection, was inhibited by, inconsistent loomotion>”",21936303,2011,Perception,"Faculty of Design, Kyushu University",,,,,,,,,,,,,,,,,,,,
"The four identified genes, found in Listeria, Enterococcus, Streptococcus and Staphylococcus genomes, can inhibit type II-A SpyCas9 or SauCas9, and are thus named acrIIA16-19.","“<four identified genes, inhibit, type II-A SpyCas9>”",32327734,2020,Nat Microbiol.,"
Department of Microbiology and Immunology, University of California, San Francisco",,,,,,,,,,,,,,,,,,,,
MicroRNAs (miRNAs) are short non-coding RNAs that inhibit the expression of target genes by directly binding to their mRNAs.,"“<MicroRNAs, inhibit, expression>”",30228348,2019,Nat Rev Mol Cell Biol.,"Biochemistry Center Regensburg (BZR), Laboratory for RNA Biology, University of Regensburg",,,,,,,,,,,,,,,,,,,,
"Sulforaphane, luteolin, celastrol, curcumin, arctigenin inhibit β-catenin signaling pathways.","“<Sulforaphane, luteolin, celastrol, curcumin, arctigenin, inhibit, β-catenin signaling pathways>”",31417401,2019,Front Pharmacol.,"Molecular Biology Research Centre Severo Ochoa, Spanish Council for Scientific Research (CSIC)",,,,,,,,,,,,,,,,,,,,
Recent studies have demonstrated that flavonoids can inhibit regulatory enzymes or transcription factors important for controlling mediators involved in inflammation. ,"“<flavonoids, inhibit, regulatory enzymes or transcription factors>”",31288163,2019,Food Chem.,"ervicio de Alergia, Hospital Universitario 12 de Octubre, Instituto de Investigación Hospital 12 de Octubre (i+12)",,,,,,,,,,,,,,,,,,,,
"Using cultures of human trophoblasts or mouse cells, we show that IFN-induced transmembrane proteins (IFITMs), a family of restriction factors blocking the entry step of many viruses, impair ST formation and inhibit syncytin-mediated fusion.","“<IFN-induced transmembrane proteins, inhibit, syncytin-mediated fusion>”",31296770,2019,Science,"
Vaccine Research Institute, Créteil, France.",,,,,,,,,,,,,,,,,,,,
"Here, we found that γ-aminobutyric acid (GABA)-releasing neurons of the mouse nucleus incertus (NI) selectively inhibit somatostatin-positive interneurons in the hippocampus, both monosynaptically and indirectly through the inhibition of their subcortical excitatory inputs.","“<γ-aminobutyric acid-releasing neurons, inhibit, somatostatin-positive interneurons >”",31123108,2019,Science,"Laboratory of Cerebral Cortex Research, Department of Cellular and Network Neurobiology, Institute of Experimental Medicine, Hungarian Academy of Sciences",,,,,,,,,,,,,,,,,,,,
"Here we show that decoy oligonucleotides targeting splicing factors RBFOX1/2, SRSF1 and PTBP1, can specifically bind to their respective SFs and inhibit their splicing and biological activities both in vitro and in vivo.","“<decoy oligonucleotides targeting splicing factors RBFOX1/2, SRSF1 and PTBP1, bind to, their respective SFs>, <decoy oligonucleotides targeting splicing factors RBFOX1/2, inhibit, their splicing and biological activities>”",30962446,2019,Nature Commun,"Department of Biochemistry and Molecular Biology, Institute for Medical Research Israel-Canada, Hebrew University-Hadassah Medical School",,,,,,,,,,,,,,,,,,,,
"Many in vitro and in vivo experiments have shown that cannabinoids inhibit proliferation of cancer cells, stimulate autophagy and apoptosis, and have also a potential to inhibit angiogenesis and metastasis.","“<cannabinoids, inhibit, proliferation>, <cannabinoids, stimulate, autophagy and apoptosis>”",30460793,2018,Cancer Med.,"Department of Biochemistry and Biotechnology, Poznań University of Life Sciences",,,,,,,,,,,,,,,,,,,,
Macrolide antibiotics inhibit protein synthesis by targeting the bacterial ribosome.,"“<Macrolide antibiotics, inhibit, protein synthesis>”",30054232,2018,Trends Biochem Sci.,"Center for Biomolecular Sciences, University of Illinois at Chicago",,,,,,,,,,,,,,,,,,,,
"MTTs selectively and potently inhibit proliferation of cancer cells and, in some cases, induce cytotoxicity.","“<MTTs, inhibit, proliferation>”",29548725,2017,Redox Biol.,"Cancer Center, Medical College of Wisconsin",,,,,,,,,,,,,,,,,,,,
"Some of these compounds inhibit ClpP activity, while others activate the protease and lead to its dysregulation.","“<Some of these compounds, inhibit, ClpP activity>, <others, activate, protease>”",29775273,2018,ACS Chem BIol.,"Department of Chemistry , University of Toronto",,,,,,,,,,,,,,,,,,,,
"SOCS proteins can act as ubiquitin ligases by recruiting Cullin5 to ubiquitinate signalling components; however, SOCS1, the most potent member of the family, can also inhibit JAK directly.","“<SOCS1, inhibit, JAK>”",29674694,2018,Nat Commun.,The University of Melbourne,,,,,,,,,,,,,,,,,,,,
"The NLRP3 inflammasome has been shown to sense metabolites such as palmitate, uric acid, and cholesterol crystals and is inhibited by ketone bodies produced during metabolic flux.","“<NLRP3 inflammasome, is inhibited by, ketone bodies>”",29247992,2018,Immunol Rev.,"
School of Biochemistry and Immunology, Trinity Biomedical Sciences Institute",,,,,,,,,,,,,,,,,,,,
"In this study, we report that different strains of HIV and SIV are inhibited by human IFITM proteins to various degrees, with SIV of African green monkeys (SIV(AGM)) being mostly restricted by human IFITM2.","“<different strains, are inhibited by, human IFITM proteins>”",25463599,2015,Virology,"Lady Davis Institute, Jewish General Hospital",,,,,,,,,,,,,,,,,,,,
"SrcFK auto-phosphorylation, MYPT-1 and MLC20 phosphorylation and contraction in IPA, and all these responses were inhibited by antioxidants (ebselen, Tempol).","“<all these receptors, were inhibited by, antioxidants>”",28673614,2017,Free Radic Biol Med.,"Asthma, Allergy & Lung Biology, Faculty of Life Sciences & Medicine",,,,,,,,,,,,,,,,,,,,
"Many strategies have been developed to target DCs in cancer, such as the administration of antigens with immunomodulators that mobilize and activate endogenous DCs, as well as the generation of DC-based vaccines.","“<immunomodulators, activate, endogenous DCs>”",31467405,2020,Nat Rev Immunol.,"Immunobiology Laboratory, Centro Nacional de Investigaciones Cardiovasculares (CNIC)",,,,,,,,,,,,,,,,,,,,
"Assembled inflammasomes activate a cascade of inflammatory caspases, which process procytokines and gasdermin D (GSDMD).","“<Assembled inflammasomes, activate, cascade>”",31451512,2020,Cold Spring Harb Perspect Biol.,"Program in Cellular and Molecular Medicine, Boston Children's Hospital, and Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School",,,,,,,,,,,,,,,,,,,,
